Code,Area,Year,Measure,Value
E02000001,City of London 001,Year ending Dec 2011,Mean,541192
E02000002,Barking and Dagenham 001,Year ending Dec 2011,Mean,191618
E02000003,Barking and Dagenham 002,Year ending Dec 2011,Mean,193483
E02000004,Barking and Dagenham 003,Year ending Dec 2011,Mean,195785
E02000005,Barking and Dagenham 004,Year ending Dec 2011,Mean,168656
E02000007,Barking and Dagenham 006,Year ending Dec 2011,Mean,162814
E02000008,Barking and Dagenham 007,Year ending Dec 2011,Mean,164706
E02000009,Barking and Dagenham 008,Year ending Dec 2011,Mean,182365
E02000010,Barking and Dagenham 009,Year ending Dec 2011,Mean,159173
E02000011,Barking and Dagenham 010,Year ending Dec 2011,Mean,179886
E02000012,Barking and Dagenham 011,Year ending Dec 2011,Mean,256403
E02000013,Barking and Dagenham 012,Year ending Dec 2011,Mean,162474
E02000014,Barking and Dagenham 013,Year ending Dec 2011,Mean,159415
E02000015,Barking and Dagenham 014,Year ending Dec 2011,Mean,146469
E02000016,Barking and Dagenham 015,Year ending Dec 2011,Mean,160006
E02000017,Barking and Dagenham 016,Year ending Dec 2011,Mean,222301
E02000018,Barking and Dagenham 017,Year ending Dec 2011,Mean,157125
E02000019,Barking and Dagenham 018,Year ending Dec 2011,Mean,159590
E02000020,Barking and Dagenham 019,Year ending Dec 2011,Mean,168003
E02000021,Barking and Dagenham 020,Year ending Dec 2011,Mean,155020
E02000022,Barking and Dagenham 021,Year ending Dec 2011,Mean,132063
E02000023,Barking and Dagenham 022,Year ending Dec 2011,Mean,163080
E02006799,Barking and Dagenham 023,Year ending Dec 2011,Mean,187593
E02000024,Barnet 001,Year ending Dec 2011,Mean,413856
E02000025,Barnet 002,Year ending Dec 2011,Mean,308393
E02000026,Barnet 003,Year ending Dec 2011,Mean,366544
E02000027,Barnet 004,Year ending Dec 2011,Mean,303613
E02000028,Barnet 005,Year ending Dec 2011,Mean,368918
E02000029,Barnet 006,Year ending Dec 2011,Mean,285945
E02000030,Barnet 007,Year ending Dec 2011,Mean,812724
E02000031,Barnet 008,Year ending Dec 2011,Mean,487678
E02000032,Barnet 009,Year ending Dec 2011,Mean,399401
E02000033,Barnet 010,Year ending Dec 2011,Mean,301811
E02000034,Barnet 011,Year ending Dec 2011,Mean,323152
E02000035,Barnet 012,Year ending Dec 2011,Mean,399081
E02000036,Barnet 013,Year ending Dec 2011,Mean,298429
E02000037,Barnet 014,Year ending Dec 2011,Mean,390641
E02000038,Barnet 015,Year ending Dec 2011,Mean,350482
E02000039,Barnet 016,Year ending Dec 2011,Mean,568443
E02000040,Barnet 017,Year ending Dec 2011,Mean,442240
E02000041,Barnet 018,Year ending Dec 2011,Mean,356771
E02000042,Barnet 019,Year ending Dec 2011,Mean,313571
E02000043,Barnet 020,Year ending Dec 2011,Mean,529478
E02000044,Barnet 021,Year ending Dec 2011,Mean,322826
E02000045,Barnet 022,Year ending Dec 2011,Mean,315362
E02000046,Barnet 023,Year ending Dec 2011,Mean,404678
E02000047,Barnet 024,Year ending Dec 2011,Mean,237437
E02000048,Barnet 025,Year ending Dec 2011,Mean,431250
E02000049,Barnet 026,Year ending Dec 2011,Mean,216106
E02000050,Barnet 027,Year ending Dec 2011,Mean,327832
E02000051,Barnet 028,Year ending Dec 2011,Mean,563421
E02000052,Barnet 029,Year ending Dec 2011,Mean,424641
E02000053,Barnet 030,Year ending Dec 2011,Mean,259877
E02000054,Barnet 031,Year ending Dec 2011,Mean,488692
E02000055,Barnet 032,Year ending Dec 2011,Mean,446496
E02000056,Barnet 033,Year ending Dec 2011,Mean,1411778
E02000057,Barnet 034,Year ending Dec 2011,Mean,452568
E02000058,Barnet 035,Year ending Dec 2011,Mean,610032
E02000059,Barnet 036,Year ending Dec 2011,Mean,263227
E02000060,Barnet 037,Year ending Dec 2011,Mean,549986
E02000061,Barnet 038,Year ending Dec 2011,Mean,927250
E02000062,Barnet 039,Year ending Dec 2011,Mean,258420
E02000063,Barnet 040,Year ending Dec 2011,Mean,330052
E02000064,Barnet 041,Year ending Dec 2011,Mean,545638
E02000065,Bexley 001,Year ending Dec 2011,Mean,138159
E02000066,Bexley 002,Year ending Dec 2011,Mean,131562
E02000067,Bexley 003,Year ending Dec 2011,Mean,157086
E02000068,Bexley 004,Year ending Dec 2011,Mean,162724
E02000069,Bexley 005,Year ending Dec 2011,Mean,176796
E02000070,Bexley 006,Year ending Dec 2011,Mean,232542
E02000071,Bexley 007,Year ending Dec 2011,Mean,201746
E02000072,Bexley 008,Year ending Dec 2011,Mean,150802
E02000073,Bexley 009,Year ending Dec 2011,Mean,239214
E02000074,Bexley 010,Year ending Dec 2011,Mean,169142
E02000075,Bexley 011,Year ending Dec 2011,Mean,247887
E02000077,Bexley 013,Year ending Dec 2011,Mean,217324
E02000078,Bexley 014,Year ending Dec 2011,Mean,207935
E02000079,Bexley 015,Year ending Dec 2011,Mean,231062
E02000080,Bexley 016,Year ending Dec 2011,Mean,227897
E02000081,Bexley 017,Year ending Dec 2011,Mean,227135
E02000082,Bexley 018,Year ending Dec 2011,Mean,237505
E02000083,Bexley 019,Year ending Dec 2011,Mean,184728
E02000084,Bexley 020,Year ending Dec 2011,Mean,273386
E02000085,Bexley 021,Year ending Dec 2011,Mean,224029
E02000086,Bexley 022,Year ending Dec 2011,Mean,259986
E02000087,Bexley 023,Year ending Dec 2011,Mean,354918
E02000088,Bexley 024,Year ending Dec 2011,Mean,275268
E02000089,Bexley 025,Year ending Dec 2011,Mean,281905
E02000090,Bexley 026,Year ending Dec 2011,Mean,225254
E02000091,Bexley 027,Year ending Dec 2011,Mean,262285
E02000092,Bexley 028,Year ending Dec 2011,Mean,225326
E02006785,Bexley 029,Year ending Dec 2011,Mean,205360
E02000093,Brent 001,Year ending Dec 2011,Mean,315597
E02000094,Brent 002,Year ending Dec 2011,Mean,280690
E02000095,Brent 003,Year ending Dec 2011,Mean,291185
E02000096,Brent 004,Year ending Dec 2011,Mean,416026
E02000097,Brent 005,Year ending Dec 2011,Mean,299288
E02000098,Brent 006,Year ending Dec 2011,Mean,358360
E02000099,Brent 007,Year ending Dec 2011,Mean,289504
E02000100,Brent 008,Year ending Dec 2011,Mean,388721
E02000101,Brent 009,Year ending Dec 2011,Mean,342755
E02000102,Brent 010,Year ending Dec 2011,Mean,240402
E02000103,Brent 011,Year ending Dec 2011,Mean,300258
E02000104,Brent 012,Year ending Dec 2011,Mean,300389
E02000105,Brent 013,Year ending Dec 2011,Mean,278719
E02000106,Brent 014,Year ending Dec 2011,Mean,305056
E02000107,Brent 015,Year ending Dec 2011,Mean,458182
E02000108,Brent 016,Year ending Dec 2011,Mean,263180
E02000109,Brent 017,Year ending Dec 2011,Mean,266140
E02000110,Brent 018,Year ending Dec 2011,Mean,424634
E02000111,Brent 019,Year ending Dec 2011,Mean,248979
E02000112,Brent 020,Year ending Dec 2011,Mean,267201
E02000113,Brent 021,Year ending Dec 2011,Mean,206288
E02000114,Brent 022,Year ending Dec 2011,Mean,350301
E02000115,Brent 023,Year ending Dec 2011,Mean,456722
E02000116,Brent 024,Year ending Dec 2011,Mean,247770
E02000117,Brent 025,Year ending Dec 2011,Mean,247211
E02000118,Brent 026,Year ending Dec 2011,Mean,233904
E02000119,Brent 027,Year ending Dec 2011,Mean,202270
E02000120,Brent 028,Year ending Dec 2011,Mean,429265
E02000121,Brent 029,Year ending Dec 2011,Mean,220437
E02000122,Brent 030,Year ending Dec 2011,Mean,623783
E02000123,Brent 031,Year ending Dec 2011,Mean,269904
E02000124,Brent 032,Year ending Dec 2011,Mean,605206
E02000125,Brent 033,Year ending Dec 2011,Mean,449798
E02000126,Brent 034,Year ending Dec 2011,Mean,328925
E02000127,Bromley 001,Year ending Dec 2011,Mean,220410
E02000128,Bromley 002,Year ending Dec 2011,Mean,384648
E02000130,Bromley 004,Year ending Dec 2011,Mean,305049
E02000131,Bromley 005,Year ending Dec 2011,Mean,226045
E02000132,Bromley 006,Year ending Dec 2011,Mean,246004
E02000133,Bromley 007,Year ending Dec 2011,Mean,561812
E02000134,Bromley 008,Year ending Dec 2011,Mean,272602
E02000135,Bromley 009,Year ending Dec 2011,Mean,193491
E02000136,Bromley 010,Year ending Dec 2011,Mean,454958
E02000137,Bromley 011,Year ending Dec 2011,Mean,307457
E02000138,Bromley 012,Year ending Dec 2011,Mean,392163
E02000139,Bromley 013,Year ending Dec 2011,Mean,295576
E02000140,Bromley 014,Year ending Dec 2011,Mean,185392
E02000141,Bromley 015,Year ending Dec 2011,Mean,240824
E02000142,Bromley 016,Year ending Dec 2011,Mean,356604
E02000144,Bromley 018,Year ending Dec 2011,Mean,315290
E02000145,Bromley 019,Year ending Dec 2011,Mean,182245
E02000146,Bromley 020,Year ending Dec 2011,Mean,267837
E02000147,Bromley 021,Year ending Dec 2011,Mean,448452
E02000148,Bromley 022,Year ending Dec 2011,Mean,469582
E02000149,Bromley 023,Year ending Dec 2011,Mean,229584
E02000150,Bromley 024,Year ending Dec 2011,Mean,374226
E02000151,Bromley 025,Year ending Dec 2011,Mean,444538
E02000152,Bromley 026,Year ending Dec 2011,Mean,287733
E02000153,Bromley 027,Year ending Dec 2011,Mean,366799
E02000154,Bromley 028,Year ending Dec 2011,Mean,333480
E02000155,Bromley 029,Year ending Dec 2011,Mean,229799
E02000156,Bromley 030,Year ending Dec 2011,Mean,350420
E02000157,Bromley 031,Year ending Dec 2011,Mean,337301
E02000158,Bromley 032,Year ending Dec 2011,Mean,300956
E02000159,Bromley 033,Year ending Dec 2011,Mean,713648
E02000160,Bromley 034,Year ending Dec 2011,Mean,330943
E02000161,Bromley 035,Year ending Dec 2011,Mean,294603
E02000162,Bromley 036,Year ending Dec 2011,Mean,306719
E02000163,Bromley 037,Year ending Dec 2011,Mean,484316
E02000165,Bromley 039,Year ending Dec 2011,Mean,240310
E02006782,Bromley 040,Year ending Dec 2011,Mean,304734
E02006787,Bromley 041,Year ending Dec 2011,Mean,309840
E02006789,Bromley 042,Year ending Dec 2011,Mean,356011
E02000166,Camden 001,Year ending Dec 2011,Mean,841537
E02000167,Camden 002,Year ending Dec 2011,Mean,1514342
E02000168,Camden 003,Year ending Dec 2011,Mean,554520
E02000169,Camden 004,Year ending Dec 2011,Mean,1440181
E02000170,Camden 005,Year ending Dec 2011,Mean,654160
E02000171,Camden 006,Year ending Dec 2011,Mean,620351
E02000172,Camden 007,Year ending Dec 2011,Mean,412978
E02000173,Camden 008,Year ending Dec 2011,Mean,898259
E02000174,Camden 009,Year ending Dec 2011,Mean,562384
E02000175,Camden 010,Year ending Dec 2011,Mean,522081
E02000176,Camden 011,Year ending Dec 2011,Mean,796157
E02000177,Camden 012,Year ending Dec 2011,Mean,450834
E02000178,Camden 013,Year ending Dec 2011,Mean,397823
E02000179,Camden 014,Year ending Dec 2011,Mean,916660
E02000180,Camden 015,Year ending Dec 2011,Mean,483919
E02000181,Camden 016,Year ending Dec 2011,Mean,651328
E02000182,Camden 017,Year ending Dec 2011,Mean,1050282
E02000183,Camden 018,Year ending Dec 2011,Mean,1162125
E02000184,Camden 019,Year ending Dec 2011,Mean,366943
E02000185,Camden 020,Year ending Dec 2011,Mean,527252
E02000186,Camden 021,Year ending Dec 2011,Mean,969143
E02000187,Camden 022,Year ending Dec 2011,Mean,407600
E02000188,Camden 023,Year ending Dec 2011,Mean,338956
E02000189,Camden 024,Year ending Dec 2011,Mean,435249
E02000190,Camden 025,Year ending Dec 2011,Mean,383358
E02000191,Camden 026,Year ending Dec 2011,Mean,753974
E02000192,Camden 027,Year ending Dec 2011,Mean,639481
E02000193,Camden 028,Year ending Dec 2011,Mean,552964
E02000194,Croydon 001,Year ending Dec 2011,Mean,249218
E02000195,Croydon 002,Year ending Dec 2011,Mean,298457
E02000196,Croydon 003,Year ending Dec 2011,Mean,248171
E02000197,Croydon 004,Year ending Dec 2011,Mean,232051
E02000198,Croydon 005,Year ending Dec 2011,Mean,182135
E02000199,Croydon 006,Year ending Dec 2011,Mean,203467
E02000200,Croydon 007,Year ending Dec 2011,Mean,216457
E02000201,Croydon 008,Year ending Dec 2011,Mean,183935
E02000202,Croydon 009,Year ending Dec 2011,Mean,212912
E02000203,Croydon 010,Year ending Dec 2011,Mean,178429
E02000204,Croydon 011,Year ending Dec 2011,Mean,211714
E02000206,Croydon 013,Year ending Dec 2011,Mean,161878
E02000207,Croydon 014,Year ending Dec 2011,Mean,206439
E02000208,Croydon 015,Year ending Dec 2011,Mean,158480
E02000209,Croydon 016,Year ending Dec 2011,Mean,186287
E02000210,Croydon 017,Year ending Dec 2011,Mean,208444
E02000211,Croydon 018,Year ending Dec 2011,Mean,257361
E02000212,Croydon 019,Year ending Dec 2011,Mean,184946
E02000213,Croydon 020,Year ending Dec 2011,Mean,186886
E02000214,Croydon 021,Year ending Dec 2011,Mean,284492
E02000215,Croydon 022,Year ending Dec 2011,Mean,216783
E02000216,Croydon 023,Year ending Dec 2011,Mean,270349
E02000217,Croydon 024,Year ending Dec 2011,Mean,187028
E02000218,Croydon 025,Year ending Dec 2011,Mean,294536
E02000219,Croydon 026,Year ending Dec 2011,Mean,360912
E02000220,Croydon 027,Year ending Dec 2011,Mean,203364
E02000221,Croydon 028,Year ending Dec 2011,Mean,218174
E02000222,Croydon 029,Year ending Dec 2011,Mean,271505
E02000223,Croydon 030,Year ending Dec 2011,Mean,153167
E02000224,Croydon 031,Year ending Dec 2011,Mean,228773
E02000225,Croydon 032,Year ending Dec 2011,Mean,180644
E02000226,Croydon 033,Year ending Dec 2011,Mean,344559
E02000227,Croydon 034,Year ending Dec 2011,Mean,199216
E02000228,Croydon 035,Year ending Dec 2011,Mean,412481
E02000229,Croydon 036,Year ending Dec 2011,Mean,192731
E02000230,Croydon 037,Year ending Dec 2011,Mean,296086
E02000231,Croydon 038,Year ending Dec 2011,Mean,707497
E02000232,Croydon 039,Year ending Dec 2011,Mean,319353
E02000233,Croydon 040,Year ending Dec 2011,Mean,283882
E02000234,Croydon 041,Year ending Dec 2011,Mean,288228
E02000235,Croydon 042,Year ending Dec 2011,Mean,359504
E02000236,Croydon 043,Year ending Dec 2011,Mean,329315
E02000237,Croydon 044,Year ending Dec 2011,Mean,285526
E02006788,Croydon 045,Year ending Dec 2011,Mean,199963
E02000238,Ealing 001,Year ending Dec 2011,Mean,233335
E02000239,Ealing 002,Year ending Dec 2011,Mean,283341
E02000240,Ealing 003,Year ending Dec 2011,Mean,208758
E02000241,Ealing 004,Year ending Dec 2011,Mean,245610
E02000242,Ealing 005,Year ending Dec 2011,Mean,273137
E02000243,Ealing 006,Year ending Dec 2011,Mean,264681
E02000244,Ealing 007,Year ending Dec 2011,Mean,260039
E02000245,Ealing 008,Year ending Dec 2011,Mean,178363
E02000246,Ealing 009,Year ending Dec 2011,Mean,210615
E02000247,Ealing 010,Year ending Dec 2011,Mean,199338
E02000248,Ealing 011,Year ending Dec 2011,Mean,334587
E02000249,Ealing 012,Year ending Dec 2011,Mean,252058
E02000250,Ealing 013,Year ending Dec 2011,Mean,487146
E02000251,Ealing 014,Year ending Dec 2011,Mean,255172
E02000252,Ealing 015,Year ending Dec 2011,Mean,271306
E02000253,Ealing 016,Year ending Dec 2011,Mean,263715
E02000254,Ealing 017,Year ending Dec 2011,Mean,245083
E02000255,Ealing 018,Year ending Dec 2011,Mean,432134
E02000256,Ealing 019,Year ending Dec 2011,Mean,526817
E02000257,Ealing 020,Year ending Dec 2011,Mean,466851
E02000258,Ealing 021,Year ending Dec 2011,Mean,389280
E02000259,Ealing 022,Year ending Dec 2011,Mean,356425
E02000260,Ealing 023,Year ending Dec 2011,Mean,264615
E02000261,Ealing 024,Year ending Dec 2011,Mean,354417
E02000262,Ealing 025,Year ending Dec 2011,Mean,403632
E02000263,Ealing 026,Year ending Dec 2011,Mean,215961
E02000264,Ealing 027,Year ending Dec 2011,Mean,430045
E02000265,Ealing 028,Year ending Dec 2011,Mean,344165
E02000266,Ealing 029,Year ending Dec 2011,Mean,216704
E02000267,Ealing 030,Year ending Dec 2011,Mean,322928
E02000268,Ealing 031,Year ending Dec 2011,Mean,462984
E02000269,Ealing 032,Year ending Dec 2011,Mean,469676
E02000270,Ealing 033,Year ending Dec 2011,Mean,322561
E02000271,Ealing 034,Year ending Dec 2011,Mean,841501
E02000272,Ealing 035,Year ending Dec 2011,Mean,429690
E02000274,Ealing 037,Year ending Dec 2011,Mean,214532
E02000275,Ealing 038,Year ending Dec 2011,Mean,262388
E02000276,Ealing 039,Year ending Dec 2011,Mean,408276
E02006791,Ealing 040,Year ending Dec 2011,Mean,531743
E02000277,Enfield 001,Year ending Dec 2011,Mean,214875
E02000278,Enfield 002,Year ending Dec 2011,Mean,203092
E02000279,Enfield 003,Year ending Dec 2011,Mean,182553
E02000280,Enfield 004,Year ending Dec 2011,Mean,288015
E02000281,Enfield 005,Year ending Dec 2011,Mean,223978
E02000282,Enfield 006,Year ending Dec 2011,Mean,184556
E02000283,Enfield 007,Year ending Dec 2011,Mean,213716
E02000284,Enfield 008,Year ending Dec 2011,Mean,259386
E02000285,Enfield 009,Year ending Dec 2011,Mean,318888
E02000286,Enfield 010,Year ending Dec 2011,Mean,289459
E02000287,Enfield 011,Year ending Dec 2011,Mean,707049
E02000288,Enfield 012,Year ending Dec 2011,Mean,198536
E02000289,Enfield 013,Year ending Dec 2011,Mean,440657
E02000290,Enfield 014,Year ending Dec 2011,Mean,181824
E02000291,Enfield 015,Year ending Dec 2011,Mean,242091
E02000292,Enfield 016,Year ending Dec 2011,Mean,238935
E02000293,Enfield 017,Year ending Dec 2011,Mean,505309
E02000294,Enfield 018,Year ending Dec 2011,Mean,204031
E02000295,Enfield 019,Year ending Dec 2011,Mean,326226
E02000296,Enfield 020,Year ending Dec 2011,Mean,274325
E02000297,Enfield 021,Year ending Dec 2011,Mean,335995
E02000298,Enfield 022,Year ending Dec 2011,Mean,525256
E02000299,Enfield 023,Year ending Dec 2011,Mean,209164
E02000300,Enfield 024,Year ending Dec 2011,Mean,207896
E02000301,Enfield 025,Year ending Dec 2011,Mean,171399
E02000302,Enfield 026,Year ending Dec 2011,Mean,324245
E02000303,Enfield 027,Year ending Dec 2011,Mean,220833
E02000304,Enfield 028,Year ending Dec 2011,Mean,506754
E02000305,Enfield 029,Year ending Dec 2011,Mean,318611
E02000306,Enfield 030,Year ending Dec 2011,Mean,170671
E02000307,Enfield 031,Year ending Dec 2011,Mean,213584
E02000308,Enfield 032,Year ending Dec 2011,Mean,307082
E02000309,Enfield 033,Year ending Dec 2011,Mean,183323
E02000311,Enfield 035,Year ending Dec 2011,Mean,256729
E02000312,Enfield 036,Year ending Dec 2011,Mean,298590
E02006793,Enfield 037,Year ending Dec 2011,Mean,159394
E02000313,Greenwich 001,Year ending Dec 2011,Mean,143700
E02000314,Greenwich 002,Year ending Dec 2011,Mean,161441
E02000315,Greenwich 003,Year ending Dec 2011,Mean,155341
E02000316,Greenwich 004,Year ending Dec 2011,Mean,229250
E02000317,Greenwich 005,Year ending Dec 2011,Mean,220652
E02000318,Greenwich 006,Year ending Dec 2011,Mean,170677
E02000319,Greenwich 007,Year ending Dec 2011,Mean,179703
E02000320,Greenwich 008,Year ending Dec 2011,Mean,185880
E02000321,Greenwich 009,Year ending Dec 2011,Mean,175304
E02000323,Greenwich 011,Year ending Dec 2011,Mean,186594
E02000324,Greenwich 012,Year ending Dec 2011,Mean,252260
E02000326,Greenwich 014,Year ending Dec 2011,Mean,280613
E02000327,Greenwich 015,Year ending Dec 2011,Mean,179200
E02000328,Greenwich 016,Year ending Dec 2011,Mean,418484
E02000329,Greenwich 017,Year ending Dec 2011,Mean,190984
E02000331,Greenwich 019,Year ending Dec 2011,Mean,262236
E02000332,Greenwich 020,Year ending Dec 2011,Mean,241434
E02000333,Greenwich 021,Year ending Dec 2011,Mean,528229
E02000334,Greenwich 022,Year ending Dec 2011,Mean,260195
E02000335,Greenwich 023,Year ending Dec 2011,Mean,240073
E02000337,Greenwich 025,Year ending Dec 2011,Mean,232482
E02000339,Greenwich 027,Year ending Dec 2011,Mean,304522
E02000340,Greenwich 028,Year ending Dec 2011,Mean,246525
E02000341,Greenwich 029,Year ending Dec 2011,Mean,201237
E02000342,Greenwich 030,Year ending Dec 2011,Mean,217651
E02000343,Greenwich 031,Year ending Dec 2011,Mean,280346
