2011 super output area - middle layer,All persons,Males,Females
E02000166  Camden 001,7924,3689,4235
E02000167  Camden 002,7944,3880,4064
E02000168  Camden 003,8172,3928,4244
E02000169  Camden 004,7637,3665,3972
E02000170  Camden 005,8338,4134,4204
E02000171  Camden 006,7818,3791,4027
E02000172  Camden 007,10147,4892,5255
E02000173  Camden 008,7675,3759,3916
E02000174  Camden 009,8714,4108,4606
E02000175  Camden 010,8848,4272,4576
E02000176  Camden 011,6373,3111,3262
E02000177  Camden 012,8948,4242,4706
E02000178  Camden 013,8857,4403,4454
E02000179  Camden 014,6329,2980,3349
E02000180  Camden 015,8202,4066,4136
E02000181  Camden 016,7708,3657,4051
E02000182  Camden 017,6697,3100,3597
E02000183  Camden 018,7913,3864,4049
E02000184  Camden 019,8882,4342,4540
E02000185  Camden 020,8290,3902,4388
E02000186  Camden 021,6687,3449,3238
E02000187  Camden 022,8155,3881,4274
E02000188  Camden 023,8322,4250,4072
E02000189  Camden 024,5944,2986,2958
E02000190  Camden 025,7530,3738,3792
E02000191  Camden 026,7497,4008,3489
E02000192  Camden 027,7157,3771,3386
E02000193  Camden 028,7630,4017,3613
E02000001  City of London 001,7375,4091,3284
E02000345  Hackney 001,8838,4448,4390
E02000346  Hackney 002,6092,3016,3076
E02000347  Hackney 003,7956,3960,3996
E02000348  Hackney 004,8120,4031,4089
E02000350  Hackney 006,9502,4716,4786
E02000351  Hackney 007,8523,4303,4220
E02000352  Hackney 008,6883,3225,3658
E02000353  Hackney 009,7786,3751,4035
E02000354  Hackney 010,9502,4765,4737
E02000355  Hackney 011,8485,4202,4283
E02000356  Hackney 012,7346,3633,3713
E02000357  Hackney 013,6339,3019,3320
E02000358  Hackney 014,11058,5509,5549
E02000359  Hackney 015,6581,3179,3402
E02000360  Hackney 016,11292,5492,5800
E02000361  Hackney 017,7640,3808,3832
E02000362  Hackney 018,6363,3165,3198
E02000363  Hackney 019,10845,5305,5540
E02000364  Hackney 020,8867,4399,4468
E02000365  Hackney 021,12764,6457,6307
E02000366  Hackney 022,8514,4141,4373
E02000367  Hackney 023,9741,4699,5042
E02000368  Hackney 024,9614,4697,4917
E02000369  Hackney 025,11594,5889,5705
E02000370  Hackney 026,8301,4262,4039
E02000371  Hackney 027,12369,6510,5859
E02006918  Hackney 028,7611,3724,3887
E02006921  Hackney 029,7744,3724,4020
E02000372  Hammersmith and Fulham 001,9175,4350,4825
E02000373  Hammersmith and Fulham 002,6658,3099,3559
E02000374  Hammersmith and Fulham 003,6731,3218,3513
E02000375  Hammersmith and Fulham 004,7028,3422,3606
E02000376  Hammersmith and Fulham 005,6915,3523,3392
E02000377  Hammersmith and Fulham 006,8169,4098,4071
E02000378  Hammersmith and Fulham 007,6534,3177,3357
E02000379  Hammersmith and Fulham 008,7581,3771,3810
E02000380  Hammersmith and Fulham 009,5863,2972,2891
E02000381  Hammersmith and Fulham 010,7768,3710,4058
E02000382  Hammersmith and Fulham 011,6167,3119,3048
E02000383  Hammersmith and Fulham 012,9432,4600,4832
E02000384  Hammersmith and Fulham 013,7320,3605,3715
E02000385  Hammersmith and Fulham 014,6162,3123,3039
E02000386  Hammersmith and Fulham 015,8136,4046,4090
E02000387  Hammersmith and Fulham 016,6272,3095,3177
E02000388  Hammersmith and Fulham 017,8202,3965,4237
E02000389  Hammersmith and Fulham 018,8255,3954,4301
E02000390  Hammersmith and Fulham 019,6448,3160,3288
E02000391  Hammersmith and Fulham 020,7729,3802,3927
E02000392  Hammersmith and Fulham 021,9578,4498,5080
E02000393  Hammersmith and Fulham 022,6031,2839,3192
E02000394  Hammersmith and Fulham 023,7755,3680,4075
E02000395  Hammersmith and Fulham 024,5951,2862,3089
E02000396  Hammersmith and Fulham 025,6633,3226,3407
E02000397  Haringey 001,7815,3896,3919
E02000398  Haringey 002,7123,3629,3494
E02000400  Haringey 004,7668,3757,3911
E02000401  Haringey 005,6734,3151,3583
E02000402  Haringey 006,6697,3080,3617
E02000403  Haringey 007,7199,3600,3599
E02000404  Haringey 008,7315,3621,3694
E02000405  Haringey 009,6548,3237,3311
E02000406  Haringey 010,7025,3380,3645
E02000407  Haringey 011,7312,3624,3688
E02000408  Haringey 012,7612,3721,3891
E02000409  Haringey 013,6527,3239,3288
E02000410  Haringey 014,6693,3240,3453
E02000411  Haringey 015,7452,3762,3690
E02000412  Haringey 016,6914,3404,3510
E02000413  Haringey 017,7500,3524,3976
E02000414  Haringey 018,7171,3652,3519
E02000415  Haringey 019,6845,3494,3351
E02000416  Haringey 020,7490,3671,3819
E02000417  Haringey 021,6676,3250,3426
E02000418  Haringey 022,5509,2603,2906
E02000419  Haringey 023,8108,4151,3957
E02000420  Haringey 024,7432,3689,3743
E02000421  Haringey 025,7148,3482,3666
E02000422  Haringey 026,7825,4008,3817
E02000423  Haringey 027,6813,3527,3286
E02000424  Haringey 028,7198,3556,3642
E02000425  Haringey 029,7256,3652,3604
E02000426  Haringey 030,6731,3278,3453
E02000427  Haringey 031,6854,3548,3306
E02000428  Haringey 032,7022,3526,3496
E02000429  Haringey 033,6852,3404,3448
E02000430  Haringey 034,7417,3733,3684
E02000431  Haringey 035,6685,3356,3329
E02000432  Haringey 036,6454,3221,3233
E02006794  Haringey 037,7306,3558,3748
E02000554  Islington 001,9182,4387,4795
E02000555  Islington 002,9408,4449,4959
E02000556  Islington 003,10008,4922,5086
E02000557  Islington 004,8124,3878,4246
E02000558  Islington 005,8870,4363,4507
E02000559  Islington 006,8778,4496,4282
E02000560  Islington 007,7076,3614,3462
E02000561  Islington 008,7746,3780,3966
E02000562  Islington 009,7934,3834,4100
E02000563  Islington 010,8486,4075,4411
E02000564  Islington 011,10488,5184,5304
E02000565  Islington 012,8187,3904,4283
E02000566  Islington 013,8164,3992,4172
E02000567  Islington 014,10358,4888,5470
E02000568  Islington 015,9625,4945,4680
E02000569  Islington 016,10022,4769,5253
E02000570  Islington 017,8615,4303,4312
E02000571  Islington 018,8031,3948,4083
E02000572  Islington 019,8571,4071,4500
E02000573  Islington 020,8674,4368,4306
E02000574  Islington 021,8501,4198,4303
E02000575  Islington 022,11889,6226,5663
E02000576  Islington 023,9388,4811,4577
E02000577  Kensington and Chelsea 001,7199,3523,3676
E02000578  Kensington and Chelsea 002,5798,2752,3046
E02000579  Kensington and Chelsea 003,8616,4091,4525
E02000580  Kensington and Chelsea 004,8655,4246,4409
E02000581  Kensington and Chelsea 005,7298,3415,3883
E02000582  Kensington and Chelsea 006,7659,3758,3901
E02000583  Kensington and Chelsea 007,7303,3485,3818
E02000584  Kensington and Chelsea 008,8178,3972,4206
E02000585  Kensington and Chelsea 009,8384,4094,4290
E02000586  Kensington and Chelsea 010,7769,3912,3857
E02000587  Kensington and Chelsea 011,7523,3743,3780
E02000588  Kensington and Chelsea 012,8159,4225,3934
E02000589  Kensington and Chelsea 013,8444,4520,3924
E02000590  Kensington and Chelsea 014,7015,3330,3685
E02000591  Kensington and Chelsea 015,6769,3477,3292
E02000592  Kensington and Chelsea 016,6761,3369,3392
E02000593  Kensington and Chelsea 017,7624,3908,3716
E02000594  Kensington and Chelsea 018,7252,3625,3627
E02000595  Kensington and Chelsea 019,7331,3472,3859
E02000596  Kensington and Chelsea 020,7782,3900,3882
E02000597  Kensington and Chelsea 021,7130,3377,3753
E02000619  Lambeth 002,8054,4069,3985
E02000620  Lambeth 003,9370,4895,4475
E02000621  Lambeth 004,10429,5649,4780
E02000622  Lambeth 005,8094,4277,3817
E02000623  Lambeth 006,7990,4049,3941
E02000624  Lambeth 007,7976,4025,3951
E02000625  Lambeth 008,8361,4239,4122
E02000626  Lambeth 009,8301,4067,4234
E02000627  Lambeth 010,9571,4837,4734
E02000628  Lambeth 011,9731,4874,4857
E02000629  Lambeth 012,9033,4570,4463
E02000630  Lambeth 013,7266,3609,3657
E02000631  Lambeth 014,8832,4290,4542
E02000632  Lambeth 015,9516,4829,4687
E02000633  Lambeth 016,8642,4286,4356
E02000634  Lambeth 017,6846,3392,3454
E02000635  Lambeth 018,9157,4568,4589
E02000636  Lambeth 019,7639,3829,3810
E02000637  Lambeth 020,8687,4427,4260
E02000638  Lambeth 021,9898,4959,4939
E02000639  Lambeth 022,8119,3925,4194
E02000640  Lambeth 023,9123,4336,4787
E02000641  Lambeth 024,8779,4138,4641
E02000642  Lambeth 025,9628,4692,4936
E02000643  Lambeth 026,8369,4014,4355
E02000644  Lambeth 027,8620,4213,4407
E02000645  Lambeth 028,9020,4424,4596
E02000646  Lambeth 029,9121,4511,4610
E02000647  Lambeth 030,8483,4179,4304
E02000648  Lambeth 031,7791,3579,4212
E02000649  Lambeth 032,11181,5567,5614
E02000650  Lambeth 033,7424,3472,3952
E02000651  Lambeth 034,8591,4260,4331
E02000652  Lambeth 035,7363,3633,3730
E02006801  Lambeth 036,8081,4238,3843
E02000653  Lewisham 001,8544,4308,4236
E02000654  Lewisham 002,8059,3856,4203
E02000655  Lewisham 003,8208,4069,4139
E02000657  Lewisham 005,9078,4540,4538
E02000658  Lewisham 006,8314,4310,4004
E02000659  Lewisham 007,7697,3674,4023
E02000660  Lewisham 008,8078,4018,4060
E02000661  Lewisham 009,6342,3116,3226
E02000662  Lewisham 010,8100,3859,4241
E02000663  Lewisham 011,7194,3761,3433
E02000664  Lewisham 012,9928,5062,4866
E02000665  Lewisham 013,7916,3950,3966
E02000666  Lewisham 014,7321,3423,3898
E02000667  Lewisham 015,6534,3101,3433
E02000668  Lewisham 016,6657,3309,3348
E02000669  Lewisham 017,7518,3771,3747
E02000670  Lewisham 018,6539,3143,3396
E02000671  Lewisham 019,8403,4098,4305
E02000672  Lewisham 020,8377,4313,4064
E02000673  Lewisham 021,8007,4060,3947
E02000674  Lewisham 022,8015,3773,4242
E02000675  Lewisham 023,8204,3953,4251
E02000676  Lewisham 024,7713,3774,3939
E02000677  Lewisham 025,7199,3561,3638
E02000678  Lewisham 026,6087,2840,3247
E02000679  Lewisham 027,7905,3931,3974
E02000680  Lewisham 028,6847,3380,3467
E02000681  Lewisham 029,8094,3853,4241
E02000682  Lewisham 030,8162,3856,4306
E02000683  Lewisham 031,6444,3023,3421
E02000685  Lewisham 033,7679,3627,4052
E02000686  Lewisham 034,6681,3132,3549
E02000687  Lewisham 035,7926,3966,3960
E02006783  Lewisham 037,7208,3333,3875
E02006784  Lewisham 038,7359,3434,3925
E02006798  Lewisham 039,7548,3780,3768
E02000714  Newham 001,8133,4164,3969
E02000715  Newham 002,7381,3829,3552
E02000716  Newham 003,7354,3912,3442
E02000717  Newham 004,8101,4305,3796
E02000718  Newham 005,6844,3429,3415
E02000719  Newham 006,8216,4243,3973
E02000720  Newham 007,7483,4104,3379
E02000721  Newham 008,9665,5243,4422
E02000722  Newham 009,8226,4255,3971
E02000723  Newham 010,10600,5779,4821
E02000724  Newham 011,9415,5203,4212
E02000725  Newham 012,8876,4512,4364
E02000726  Newham 013,8892,4739,4153
E02000727  Newham 014,8305,4710,3595
E02000728  Newham 015,8227,4440,3787
E02000729  Newham 016,7080,3712,3368
E02000730  Newham 017,8992,5026,3966
E02000731  Newham 018,10073,5718,4355
E02000732  Newham 019,7566,4052,3514
E02000733  Newham 020,9754,4899,4855
E02000734  Newham 021,7642,3932,3710
E02000735  Newham 022,7582,4089,3493
E02000736  Newham 023,8571,4392,4179
E02000737  Newham 024,9434,4763,4671
E02000738  Newham 025,8467,4405,4062
E02000739  Newham 026,6894,3529,3365
E02000740  Newham 027,6779,3345,3434
E02000741  Newham 028,8261,4183,4078
E02000742  Newham 029,8005,4002,4003
E02000743  Newham 030,7866,3926,3940
E02000744  Newham 031,8029,3951,4078
E02000745  Newham 032,8141,3961,4180
E02000746  Newham 033,7382,3512,3870
E02000747  Newham 034,10646,5554,5092
E02000748  Newham 035,6240,3056,3184
E02000749  Newham 036,8183,3957,4226
E02000750  Newham 037,10679,5505,5174
E02000807  Southwark 001,8313,4278,4035
E02000808  Southwark 002,9102,4712,4390
E02000809  Southwark 003,11711,6450,5261
E02000810  Southwark 004,9144,4452,4692
E02000812  Southwark 006,10290,5077,5213
E02000813  Southwark 007,8591,4162,4429
E02000814  Southwark 008,8652,4397,4255
E02000815  Southwark 009,6497,3342,3155
E02000816  Southwark 010,9043,4379,4664
E02000817  Southwark 011,6494,3153,3341
E02000818  Southwark 012,7534,3758,3776
E02000819  Southwark 013,8315,4182,4133
E02000820  Southwark 014,8503,4395,4108
E02000821  Southwark 015,8386,4131,4255
E02000822  Southwark 016,8111,4005,4106
E02000823  Southwark 017,7733,3801,3932
E02000824  Southwark 018,9568,4609,4959
E02000825  Southwark 019,9649,4702,4947
E02000826  Southwark 020,8888,4288,4600
E02000827  Southwark 021,10359,5209,5150
E02000828  Southwark 022,8383,4145,4238
E02000829  Southwark 023,10389,5303,5086
E02000830  Southwark 024,8870,4335,4535
E02000831  Southwark 025,9378,4591,4787
E02000832  Southwark 026,9960,4759,5201
E02000833  Southwark 027,7755,3575,4180
E02000834  Southwark 028,9199,4380,4819
E02000835  Southwark 029,7236,3469,3767
E02000836  Southwark 030,8240,3985,4255
E02000837  Southwark 031,9085,4390,4695
E02000838  Southwark 032,9180,4317,4863
E02000839  Southwark 033,8036,3927,4109
E02006802  Southwark 034,7689,3960,3729
E02000864  Tower Hamlets 001,8297,4020,4277
E02000865  Tower Hamlets 002,7051,3474,3577
E02000866  Tower Hamlets 003,9662,4778,4884
E02000867  Tower Hamlets 004,9761,4900,4861
E02000868  Tower Hamlets 005,6632,3341,3291
E02000869  Tower Hamlets 006,5705,2956,2749
E02000870  Tower Hamlets 007,6477,3242,3235
E02000871  Tower Hamlets 008,8591,4379,4212
E02000872  Tower Hamlets 009,7501,3901,3600
E02000873  Tower Hamlets 010,8713,4315,4398
E02000874  Tower Hamlets 011,7129,3632,3497
E02000875  Tower Hamlets 012,9440,4781,4659
E02000876  Tower Hamlets 013,7037,3748,3289
E02000877  Tower Hamlets 014,9803,4969,4834
E02000878  Tower Hamlets 015,10286,5492,4794
E02000879  Tower Hamlets 016,7634,3839,3795
E02000880  Tower Hamlets 017,5776,3022,2754
E02000881  Tower Hamlets 018,6909,3448,3461
E02000882  Tower Hamlets 019,8604,4340,4264
E02000883  Tower Hamlets 020,7950,3977,3973
E02000884  Tower Hamlets 021,9086,5060,4026
E02000885  Tower Hamlets 022,6895,3502,3393
E02000886  Tower Hamlets 023,7326,3931,3395
E02000887  Tower Hamlets 024,8660,4359,4301
E02000888  Tower Hamlets 025,8215,4361,3854
E02000889  Tower Hamlets 026,6616,3607,3009
E02000890  Tower Hamlets 027,5795,3152,2643
E02000891  Tower Hamlets 028,12678,6719,5959
E02000893  Tower Hamlets 030,6783,3410,3373
E02000894  Tower Hamlets 031,10137,5320,4817
E02006853  Tower Hamlets 032,7064,3680,3384
E02006854  Tower Hamlets 033,5883,3251,2632
E02000923  Wandsworth 001,7474,3721,3753
E02000924  Wandsworth 002,11131,5446,5685
E02000925  Wandsworth 003,7848,3709,4139
E02000926  Wandsworth 004,8936,4523,4413
E02000927  Wandsworth 005,6790,3257,3533
E02000928  Wandsworth 006,8458,4017,4441
E02000929  Wandsworth 007,7277,3370,3907
E02000930  Wandsworth 008,9676,4679,4997
E02000931  Wandsworth 009,8474,4177,4297
E02000932  Wandsworth 010,10296,5096,5200
E02000933  Wandsworth 011,8781,4225,4556
E02000934  Wandsworth 012,9105,4484,4621
E02000935  Wandsworth 013,6850,3078,3772
E02000936  Wandsworth 014,8330,3952,4378
E02000937  Wandsworth 015,7724,3791,3933
E02000938  Wandsworth 016,9546,4390,5156
E02000939  Wandsworth 017,7968,3890,4078
E02000940  Wandsworth 018,7835,3800,4035
E02000941  Wandsworth 019,9941,4860,5081
E02000942  Wandsworth 020,9665,4707,4958
E02000943  Wandsworth 021,8402,4192,4210
E02000944  Wandsworth 022,7206,3389,3817
E02000945  Wandsworth 023,7620,3535,4085
E02000946  Wandsworth 024,8795,4810,3985
E02000947  Wandsworth 025,8675,4130,4545
E02000948  Wandsworth 026,9877,4790,5087
E02000949  Wandsworth 027,9805,4778,5027
E02000950  Wandsworth 028,7578,3656,3922
E02000951  Wandsworth 029,6650,3199,3451
E02000952  Wandsworth 030,6257,3061,3196
E02000953  Wandsworth 031,7084,3254,3830
E02000954  Wandsworth 032,6429,3117,3312
E02000955  Wandsworth 033,6714,3232,3482
E02000956  Wandsworth 034,7705,3639,4066
E02000957  Wandsworth 035,10589,5164,5425
E02000958  Wandsworth 036,8271,3974,4297
E02000959  Wandsworth 037,7233,3554,3679
E02000960  Westminster 001,6620,3113,3507
E02000961  Westminster 002,9442,4484,4958
E02000962  Westminster 003,8624,4201,4423
E02000963  Westminster 004,10363,4867,5496
E02000964  Westminster 005,12549,6063,6486
E02000965  Westminster 006,8627,4283,4344
E02000966  Westminster 007,9708,4839,4869
E02000967  Westminster 008,7289,3759,3530
E02000968  Westminster 009,14358,6993,7365
E02000969  Westminster 010,9329,4540,4789
E02000970  Westminster 011,8983,4764,4219
E02000971  Westminster 012,8408,4523,3885
E02000972  Westminster 013,8333,4708,3625
E02000973  Westminster 014,10090,5074,5016
E02000974  Westminster 015,8794,4871,3923
E02000975  Westminster 016,8757,4631,4126
E02000976  Westminster 017,9946,5156,4790
E02000977  Westminster 018,7490,4297,3193
E02000978  Westminster 019,9270,4949,4321
E02000979  Westminster 020,8081,4364,3717
E02000980  Westminster 021,8684,4368,4316
E02000981  Westminster 022,8991,4546,4445
E02000982  Westminster 023,8226,4011,4215
E02000983  Westminster 024,8434,4144,4290
E02000002  Barking and Dagenham 001,6775,3156,3619
E02000003  Barking and Dagenham 002,10045,4844,5201
E02000004  Barking and Dagenham 003,6182,2950,3232
E02000005  Barking and Dagenham 004,8562,4134,4428
E02000007  Barking and Dagenham 006,8791,4099,4692
E02000008  Barking and Dagenham 007,11569,5450,6119
E02000009  Barking and Dagenham 008,8395,4080,4315
E02000010  Barking and Dagenham 009,8615,4085,4530
E02000011  Barking and Dagenham 010,6187,3046,3141
E02000012  Barking and Dagenham 011,9888,4797,5091
E02000013  Barking and Dagenham 012,8402,4033,4369
E02000014  Barking and Dagenham 013,9402,4413,4989
E02000015  Barking and Dagenham 014,7563,3635,3928
E02000016  Barking and Dagenham 015,7676,4032,3644
E02000017  Barking and Dagenham 016,8498,4524,3974
E02000018  Barking and Dagenham 017,8890,4308,4582
E02000019  Barking and Dagenham 018,8276,3997,4279
E02000020  Barking and Dagenham 019,9276,4635,4641
E02000021  Barking and Dagenham 020,7904,3797,4107
E02000022  Barking and Dagenham 021,8777,4409,4368
E02000023  Barking and Dagenham 022,6482,3160,3322
E02006799  Barking and Dagenham 023,9756,4653,5103
E02000024  Barnet 001,10156,4854,5302
E02000025  Barnet 002,7956,3823,4133
E02000026  Barnet 003,6313,3102,3211
E02000027  Barnet 004,9598,4548,5050
E02000028  Barnet 005,6166,3034,3132
E02000029  Barnet 006,8517,4137,4380
E02000030  Barnet 007,9130,4332,4798
E02000031  Barnet 008,7294,3503,3791
E02000032  Barnet 009,7857,3813,4044
E02000033  Barnet 010,8537,4140,4397
E02000034  Barnet 011,8508,4059,4449
E02000035  Barnet 012,7965,3795,4170
E02000036  Barnet 013,10743,5215,5528
E02000037  Barnet 014,9741,4689,5052
E02000038  Barnet 015,10514,5220,5294
E02000039  Barnet 016,6675,3258,3417
E02000040  Barnet 017,7197,3410,3787
E02000041  Barnet 018,8811,4346,4465
E02000042  Barnet 019,10639,5241,5398
E02000043  Barnet 020,7696,3728,3968
E02000044  Barnet 021,8071,3772,4299
E02000045  Barnet 022,10237,5002,5235
E02000046  Barnet 023,7063,3445,3618
E02000047  Barnet 024,11373,5436,5937
E02000048  Barnet 025,9817,4713,5104
E02000049  Barnet 026,8503,4002,4501
E02000050  Barnet 027,10064,4863,5201
E02000051  Barnet 028,8647,4168,4479
E02000052  Barnet 029,9698,4695,5003
E02000053  Barnet 030,8697,4420,4277
E02000054  Barnet 031,7206,3552,3654
E02000055  Barnet 032,11130,5514,5616
E02000056  Barnet 033,9212,4319,4893
E02000057  Barnet 034,7484,3697,3787
E02000058  Barnet 035,10220,4805,5415
E02000059  Barnet 036,10459,5189,5270
E02000060  Barnet 037,10920,5364,5556
E02000061  Barnet 038,8013,3918,4095
E02000062  Barnet 039,6340,3091,3249
E02000063  Barnet 040,6971,3450,3521
E02000064  Barnet 041,6248,3014,3234
E02000065  Bexley 001,7666,3708,3958
E02000066  Bexley 002,9641,4593,5048
E02000067  Bexley 003,8750,4206,4544
E02000068  Bexley 004,7388,3598,3790
E02000069  Bexley 005,6194,2991,3203
E02000070  Bexley 006,7875,3788,4087
E02000071  Bexley 007,7300,3531,3769
E02000072  Bexley 008,11734,5620,6114
E02000073  Bexley 009,10724,5203,5521
E02000074  Bexley 010,7655,3576,4079
E02000075  Bexley 011,7948,3865,4083
E02000077  Bexley 013,7823,3748,4075
E02000078  Bexley 014,7665,3718,3947
E02000079  Bexley 015,7865,3728,4137
E02000080  Bexley 016,9430,4546,4884
E02000081  Bexley 017,7513,3653,3860
E02000082  Bexley 018,8876,4338,4538
E02000083  Bexley 019,9771,4783,4988
E02000084  Bexley 020,10641,5257,5384
E02000085  Bexley 021,7893,3765,4128
E02000086  Bexley 022,7328,3584,3744
E02000087  Bexley 023,7579,3716,3863
E02000088  Bexley 024,7737,3790,3947
E02000089  Bexley 025,7783,3737,4046
